Length;Type;Sort type;Time;Comparisons;Swapped elements
200;1;Merge;206;1544;0
200;1;Heap;49;2548;1285
200;1;Insertion;193;10018;9825
200;1;Shell;36;1855;1186
200;1;Quick;26;1190;421
200;2;Merge;217;1544;0
200;2;Heap;62;2569;1316
200;2;Insertion;229;9892;9695
200;2;Shell;36;1902;1227
200;2;Quick;33;1321;420
200;3;Merge;194;1544;0
200;3;Heap;42;2275;1006
200;3;Insertion;390;19898;19883
200;3;Shell;26;1599;1050
200;3;Quick;141;18963;206
200;4;Merge;250;1544;0
200;4;Heap;63;2278;1008
200;4;Insertion;531;19898;19885
200;4;Shell;26;1598;1049
200;4;Quick;95;19258;206
200;5;Merge;243;1544;0
200;5;Heap;65;3279;2270
200;5;Insertion;2;199;0
200;5;Shell;8;742;0
200;5;Quick;101;19708;199
200;6;Merge;243;1544;0
200;6;Heap;63;3276;2262
200;6;Insertion;2;199;0
200;6;Shell;7;742;0
200;6;Quick;97;19646;199
200;7;Merge;196;1544;0
200;7;Heap;43;2327;1029
200;7;Insertion;256;12956;12844
200;7;Shell;22;1324;690
200;7;Quick;32;3715;402
200;8;Merge;196;1544;0
200;8;Heap;42;2319;1029
200;8;Insertion;252;13212;13105
200;8;Shell;22;1339;708
200;8;Quick;30;2973;426
200;9;Merge;221;1544;0
200;9;Heap;54;2834;1660
200;9;Insertion;133;7078;6879
200;9;Shell;16;1123;381
200;9;Quick;30;3333;338
200;10;Merge;234;1544;0
200;10;Heap;54;2851;1685
200;10;Insertion;125;6661;6462
200;10;Shell;16;1097;355
200;10;Quick;30;3575;331
400;1;Merge;502;3488;0
400;1;Heap;120;5934;2993
400;1;Insertion;820;40336;39943
400;1;Shell;92;4683;3026
400;1;Quick;57;2577;963
400;2;Merge;404;3488;0
400;2;Heap;111;5839;2906
400;2;Insertion;784;41217;40824
400;2;Shell;112;4623;2964
400;2;Quick;71;2824;959
400;3;Merge;513;3488;0
400;3;Heap;97;5356;2426
400;3;Insertion;2373;79788;79754
400;3;Shell;62;2996;1492
400;3;Quick;509;74989;422
400;4;Merge;402;3488;0
400;4;Heap;101;5353;2428
400;4;Insertion;1541;79799;79766
400;4;Shell;62;3000;1497
400;4;Quick;545;76827;416
400;5;Merge;420;3488;0
400;5;Heap;147;7735;5313
400;5;Insertion;4;399;0
400;5;Shell;17;1821;0
400;5;Quick;379;79753;400
400;6;Merge;384;3488;0
400;6;Heap;146;7733;5303
400;6;Insertion;3;399;0
400;6;Shell;24;1821;0
400;6;Quick;374;78860;399
400;7;Merge;516;3488;0
400;7;Heap;158;5417;2436
400;7;Insertion;1379;52533;52316
400;7;Shell;72;2889;1294
400;7;Quick;114;12409;871
400;8;Merge;445;3488;0
400;8;Heap;121;5428;2434
400;8;Insertion;1029;53687;53462
400;8;Shell;45;2913;1319
400;8;Quick;89;13049;838
400;9;Merge;449;3488;0
400;9;Heap;131;6617;3889
400;9;Insertion;550;28830;28431
400;9;Shell;39;2660;839
400;9;Quick;108;11074;756
400;10;Merge;366;3488;0
400;10;Heap;124;6631;3893
400;10;Insertion;539;28237;27838
400;10;Shell;62;2633;812
400;10;Quick;101;11034;743
600;1;Merge;643;5576;0
600;1;Heap;234;9507;4755
600;1;Insertion;2273;90131;89535
600;1;Shell;189;7475;4867
600;1;Quick;112;4899;1475
600;2;Merge;636;5576;0
600;2;Heap;227;9552;4794
600;2;Insertion;1707;88603;88012
600;2;Shell;155;7963;5342
600;2;Quick;123;4644;1492
600;3;Merge;792;5576;0
600;3;Heap;212;8713;3974
600;3;Insertion;3663;179696;179638
600;3;Shell;83;5203;2967
600;3;Quick;1026;168962;632
600;4;Merge;745;5576;0
600;4;Heap;157;8710;3959
600;4;Insertion;3489;179694;179633
600;4;Shell;123;5201;2965
600;4;Quick;1206;166286;633
600;5;Merge;732;5576;0
600;5;Heap;311;12651;8673
600;5;Insertion;7;599;0
600;5;Shell;33;2821;0
600;5;Quick;865;178392;601
600;6;Merge;589;5576;0
600;6;Heap;245;12642;8670
600;6;Insertion;5;599;0
600;6;Shell;26;2821;0
600;6;Quick;1019;178459;599
600;7;Merge;557;5576;0
600;7;Heap;171;8823;3984
600;7;Insertion;2339;120043;119716
600;7;Shell;77;4751;2273
600;7;Quick;229;27613;1337
600;8;Merge;619;5576;0
600;8;Heap;175;8845;3989
600;8;Insertion;2479;122382;122055
600;8;Shell;98;4767;2284
600;8;Quick;250;31229;1299
600;9;Merge;656;5576;0
600;9;Heap;225;10906;6436
600;9;Insertion;1288;58458;57859
600;9;Shell;109;4089;1268
600;9;Quick;211;26131;1119
600;10;Merge;598;5576;0
600;10;Heap;220;10893;6445
600;10;Insertion;1540;59729;59130
600;10;Shell;73;4097;1276
600;10;Quick;213;26970;1114
800;1;Merge;874;7776;0
800;1;Heap;254;13397;6734
800;1;Insertion;3015;154603;153812
800;1;Shell;257;10660;7075
800;1;Quick;153;6145;2100
800;2;Merge;1025;7776;0
800;2;Heap;256;13377;6705
800;2;Insertion;3475;158876;158083
800;2;Shell;248;10347;6752
800;2;Quick;125;6773;2060
800;3;Merge;832;7776;0
800;3;Heap;216;12280;5621
800;3;Insertion;6387;319591;319511
800;3;Shell;177;7276;4195
800;3;Quick;2273;299792;840
800;4;Merge;855;7776;0
800;4;Heap;293;12285;5630
800;4;Insertion;6341;319596;319537
800;4;Shell;149;7301;4221
800;4;Quick;1488;307613;829
800;5;Merge;828;7776;0
800;5;Heap;455;17885;12238
800;5;Insertion;7;799;0
800;5;Shell;56;3821;0
800;5;Quick;1539;316411;799
800;6;Merge;810;7776;0
800;6;Heap;400;17894;12249
800;6;Insertion;9;799;0
800;6;Shell;55;3821;0
800;6;Quick;2027;318439;799
800;7;Merge;766;7776;0
800;7;Heap;279;12446;5653
800;7;Insertion;4343;215599;215151
800;7;Shell;112;6762;3349
800;7;Quick;342;46696;1844
800;8;Merge;825;7776;0
800;8;Heap;298;12454;5722
800;8;Insertion;4020;204935;204509
800;8;Shell;110;6687;3259
800;8;Quick;256;38089;1982
800;9;Merge;1051;7776;0
800;9;Heap;313;15248;8991
800;9;Insertion;2442;111456;110657
800;9;Shell;95;5856;2035
800;9;Quick;277;40140;1581
800;10;Merge;1058;7776;0
800;10;Heap;398;15261;8991
800;10;Insertion;2457;113097;112298
800;10;Shell;108;5888;2067
800;10;Quick;271;37646;1563
1000;1;Merge;1194;9976;0
1000;1;Heap;423;17224;8606
1000;1;Insertion;5108;247534;246542
1000;1;Shell;418;15550;10968
1000;1;Quick;200;8547;2652
1000;2;Merge;1196;9976;0
1000;2;Heap;455;17199;8594
1000;2;Insertion;5173;250731;249741
1000;2;Shell;361;14572;10021
1000;2;Quick;202;9247;2643
1000;3;Merge;1026;9976;0
1000;3;Heap;280;15976;7325
1000;3;Insertion;10965;499487;499393
1000;3;Shell;179;9845;5941
1000;3;Quick;2489;470267;1047
1000;4;Merge;1133;9976;0
1000;4;Heap;362;15970;7312
1000;4;Insertion;10379;499495;499397
1000;4;Shell;158;9835;5931
1000;4;Quick;2285;469980;1052
1000;5;Merge;1200;9976;0
1000;5;Heap;428;23139;15797
1000;5;Insertion;9;999;0
1000;5;Shell;81;4821;0
1000;5;Quick;2540;496338;999
1000;6;Merge;1216;9976;0
1000;6;Heap;440;23142;15805
1000;6;Insertion;9;999;0
1000;6;Shell;44;4821;0
1000;6;Quick;2238;497449;1000
1000;7;Merge;981;9976;0
1000;7;Heap;289;16095;7367
1000;7;Insertion;6535;327588;327050
1000;7;Shell;159;8965;4627
1000;7;Quick;396;59798;2431
1000;8;Merge;1286;9976;0
1000;8;Heap;417;16186;7372
1000;8;Insertion;7934;336373;335824
1000;8;Shell;203;8966;4637
1000;8;Quick;576;70310;2355
1000;9;Merge;1101;9976;0
1000;9;Heap;505;19887;11745
1000;9;Insertion;3622;162529;161530
1000;9;Shell;135;7428;2607
1000;9;Quick;410;74589;1915
1000;10;Merge;1169;9976;0
1000;10;Heap;369;19905;11767
1000;10;Insertion;3222;164960;163961
1000;10;Shell;242;7502;2681
1000;10;Quick;474;70166;1984
1200;1;Merge;1704;12352;0
1200;1;Heap;402;21319;10634
1200;1;Insertion;7351;359529;358341
1200;1;Shell;463;17627;11479
1200;1;Quick;207;13017;3155
1200;2;Merge;1559;12352;0
1200;2;Heap;398;21277;10574
1200;2;Insertion;7338;374924;373727
1200;2;Shell;358;16890;10745
1200;2;Quick;215;9961;3303
1200;3;Merge;1578;12352;0
1200;3;Heap;392;19817;9131
1200;3;Insertion;16172;719387;719275
1200;3;Shell;252;11291;5584
1200;3;Quick;3654;685510;1251
